text,DV_C,DV_n
[C][=C][Branch1][=Branch1][C][C][O][Ring1][Ring1][C][=C][C][=C][S][Ring1][Branch1],12.009913889999453,12.3
[C][C][C][=C][Branch1][Branch1][C][Ring1][Branch1][O][C][=C][C][=Branch1][Ring2][=C][Ring1][Branch2][C][N],1.404994889999646,-1.8
[C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1].[C][N][Branch1][C][C][C],-1.418800110000461,-2.4
[C][C][C][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][N],0.5264808899994641,-3.2
[C][C][=C][C][=C][Branch1][Branch2][C][C][C][Ring1][Branch1][N][O][C][=C][Ring1][O],1.404994889999646,-1.8
[C][=C][C][=Branch1][C][=O][N][C][C][C][Branch1][Ring2][C][Ring1][Branch1][C][Ring1][Ring2][C][=O],0.71473389000014,-3.0
[C][=C][C][=C][C][=C][C][=C][Ring1][Branch2],1.404994889999646,1.0
[C][C][Branch1][O][N][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],3.852283889999516,2.5
[C][C][O][C][C][C][=C][C][Branch1][Ring2][C][Ring1][=Branch1][C][C][Ring1][Branch1][C][Ring1][=Branch2],-1.3560491100006071,-6.2
[C][C][=Branch1][C][=O][Si][C][Branch1][=Branch1][C][C][C][Ring1][Ring1][C][C][C][Ring1][Ring1],3.099271890000156,2.4
[C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch1][C][=Branch1][C][=C][C][O],5.672062889999733,7.6
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][N][C][=C][Ring1][Branch1][C][=C][C][=C][Ring1][=Branch1][O],4.228789889999753,4.3
[C][C][C][C][=C][Branch1][Branch1][C][Ring1][Branch1][=O][C][=C][Branch1][Branch1][C][=C][Ring1][Branch2][O][C],4.668046889999844,4.9
[C][C][Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][Branch2][C],7.115335889999714,4.8
[C][C][Branch2][Ring1][Ring1][C][C][Ring1][Ring1][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][C][Branch1][C][C][C][C],-1.418800110000461,-2.4
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][O][Ring1][Ring1],7.491841889999951,6.7
[C][C][C][Branch1][Ring2][C][Ring1][Ring2][Branch1][#C][C][=C][N][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][=Branch1][C][=O][O],-0.1637801100000418,-3.4
[C][C][=C][Branch2][Ring1][=Branch2][C][=C][C][=C][C][=C][C][=Branch1][=Branch1][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][C][N],0.5264808899994641,-2.3
[C][C][C][C][C][C][C][C][=Branch1][=Branch2][=C][C][Ring1][=Branch1][C][=N][Ring1][=Branch1][C],-1.418800110000461,-2.4
[C][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=N][Ring1][=Branch1][C][C][=Branch1][C][=O][Cl],4.60529588999999,2.0
[C][C][=C][C][=C][C][=C][Branch1][#Branch2][C][=Branch1][C][=O][C][C][C][Ring1][#Branch1][N][=C][Ring1][O][C][=C][Ring1][#C],-1.98355911000026,-3.8
[C][C][O][C][C][=C][C][=Branch1][#Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O],-0.0382781100003343,0.3
[C][=C][C][=Branch1][C][=C][C][C][C][C][C][=Branch1][C][=O][C][=C],-1.3560491100006071,-6.2
[C][C][=C][C][=C][Branch1][N][C][C][=N][C][=N][C][=C][Ring1][=Branch1][Ring1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=N][C][C],-3.5523341099999475,-6.6
[C][C][C][C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C],-2.6738201099997654,-3.7
[C][C][=Branch1][C][=C][C][C][C][C][C][C][Branch1][Ring2][C][Ring1][Branch1][C][Ring1][#Branch1][=O],-1.3560491100006071,-6.2
[C][C][C][C][C][Ring1][Branch1][C][=C][Ring1][Branch1][O][C][=C][C][Ring1][=Branch1],6.801580889999331,8.9
[C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],-2.171812109999821,-3.1
[C][C][=C][C][=Branch1][#C][=C][C][=C][Branch1][=Branch2][C][Ring1][=Branch1][=C][C][=C][Ring1][#Branch2][F][C][=O],1.5932478899992073,0.8
[C][C][Branch2][Ring1][C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=C][C][=C][C][=C][Ring1][=Branch1][NH3+1],0.5264808899994641,-3.2
[C][C][O][C][=Branch1][C][=O][C][Branch1][#C][C][C][Ring1][Ring1][C][#C][Si][Branch1][C][C][Branch1][C][C][C][C][O],-0.2265311099998956,0.8
[C][C][C][C][=C][C][=C][Branch1][N][C][C][Ring1][=Branch1][Branch1][Ring2][C][Ring1][Ring1][C][C][C],-2.297314110000643,-3.2
[C][C][=C][C][=C][Branch1][=Branch1][C][=N][C][Ring1][#Branch1][C],-5.497615109999872,-11.4
[C][C][C][C][C][C][Branch1][=Branch2][C][Ring1][Branch1][Branch1][C][C][C][=O][C][=C][Ring1][=Branch2],-1.3560491100006071,-6.2
[C][C][C][Ring1][Ring1][Branch1][Ring1][C][N][C][=N][C][=C][N][=C][Ring1][=Branch1],-4.368097110000275,-5.6
[C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][P][Branch1][C][C][C],6.236821889999532,1.8
[C][C][Branch2][Ring1][Branch2][C][O][Si][Branch1][Branch1][O][C][Ring1][=Branch1][Branch1][C][C][C][C][C][C][=C][C][Ring1][=Branch1][O][Ring1][Branch1][C],-0.2265311099998956,0.8
[C][C][Branch1][#C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][O][O],-0.0382781100003343,0.3
[C][#C][C][N][C][=Branch1][C][=O][C][C][C][C][=C][C][Ring1][=Branch1],1.404994889999646,-1.8
[C][C][N][Branch1][Branch2][C][=Branch1][C][=O][N][Ring1][=Branch1][C][C][=N][C][=C][C][=N][Ring1][=Branch1],4.542544890000136,3.8
[C][O][C][=Branch1][C][=O][C][C][C][C][C][Ring1][Ring1][C][C][Ring1][#Branch1][C][=O],-0.0382781100003343,0.3
[C][O][C][=C][C][=C][Branch1][=Branch1][C][C][Ring1][Ring2][=C][C][=C][Ring1][=Branch2],7.868347890000188,8.8
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][NH1+1][Ring1][=Branch2][C][C][=Branch1][C][=O][O-1],9.562624889999585,9.0
[C][C][C][Branch1][#Branch2][C][C][C][=Branch1][C][=O][C][Ring1][=Branch1][C][C][=C][Ring1][O],-3.2385791100006784,-3.7
